brand,currency,price,colors,name,sizes,categories
oakley,usd,13.99,brown,oakley blade   open toe synthetic  flip flop sandal,12,"clothing,shoes,men's shoes,all men's shoes"
cestus,usd,78.35,red,cestus vibration series tremblex-5 neoprene polychloroprene anti-vibration glove work medium black (pack of 1 pair),5,"workwear & uniforms,men's workwear & uniforms,men's coveralls,clothing, shoes & jewelry,clothing,men's clothing"
cestus,usd,79.35,black,cestus vibration series tremblex-5 neoprene polychloroprene anti-vibration glove work medium black (pack of 1 pair),6,"workwear & uniforms,men's workwear & uniforms,men's coveralls,clothing, shoes & jewelry,clothing,men's clothing"
genuine grip,usd,57.16,brown,"genuine grip 7100-8m oxford shoes, black, mens, 8, m, pr",7,"clothing,shoes,men's shoes,men's casual shoes"
dr. scholl's,usd,32.99,grey,dr. scholl's harmon men us 11 black oxford,4,"men's casual shoes,shoes,men's shoes,clothing"
dr. scholl's,usd,75,grey,dr. scholl's harmon men us 11 black oxford,10,"men's casual shoes,shoes,men's shoes,clothing"
walleva,aud,36.99,ice blue,new walleva polarized fire red replacement lenses for oakley juliet sunglasses,6,"clothing, shoes, accessories,men's sunglasses"
adidas,usd,80.79,blackorange,new adidas nitrocharge 1.0 fg men's soccer cleats-orange/black; size 8 m18429,8,"clothing, shoes & accessories,team sports,men,soccer,shoes & cleats,sporting goods"
adidas,usd,89.77,blackorange,new adidas nitrocharge 1.0 fg men's soccer cleats-orange/black; size 8 m18429,8,"clothing, shoes & accessories,team sports,men,soccer,shoes & cleats,sporting goods"
adidas,usd,85.28,blackorange,new adidas nitrocharge 1.0 fg men's soccer cleats-orange/black; size 8 m18429,8,"clothing, shoes & accessories,team sports,men,soccer,shoes & cleats,sporting goods"
kinco,usd,106.92,red,kinco 1500 unlined cowhide leather glove work medium gray (pack of 6 pairs),10,"men's work gloves,power tools,safety apparel,women's workwear & uniforms,safety & shop gear,workwear & uniforms,hand tools,clothing,tools,men's clothing,office supplies,women's clothing,women's work gloves,gloves,women's workwear accessories,clothing, shoes & jewelry,men's workwear & uniforms,men's workwear accessories,office safety & security"
kinco,usd,117.49,beige,kinco 1500 unlined cowhide leather glove work medium gray (pack of 6 pairs),7,"men's work gloves,power tools,safety apparel,women's workwear & uniforms,safety & shop gear,workwear & uniforms,hand tools,clothing,tools,men's clothing,office supplies,women's clothing,women's work gloves,gloves,women's workwear accessories,clothing, shoes & jewelry,men's workwear & uniforms,men's workwear accessories,office safety & security"
jordan,usd,179.99,grey,jordan rising high basketball men's shoes size,12,"shoes,clothing, shoes & jewelry,men,athletic,team sports,basketball"
jaald,usd,68.92,brown,men's genuine leather cross body vintage shoulder messenger satchel man bag new,9,"clothing, shoes & accessories,men's accessories,backpacks, bags & briefcases"
el naturalista,usd,229.95,"black,carton,castano,cuero",el naturalista mens n901 recyclus el walking shoes,3,"clothing,shoes,men's shoes,all men's shoes"
el naturalista,usd,160.99,"black,carton,castano,cuero",el naturalista mens n901 recyclus el walking shoes,8,"clothing,shoes,men's shoes,all men's shoes"
nike,usd,109.95,black,nike jordan flight runner 2 black/red/gray men's running shoes size 14,14,"clothing, shoes & accessories,men's shoes,athletic"
bgood,usd,132.16,brown,bgood men's western stand collar jacket coat slim thin woolen overwear,9,"all men's clothing,men's clothing,clothing, shoes & jewelry,clothing"
